ID,TITLE,DESCRIPTION,DURATION,STATUS,DATE PUBLISHED,KEYWORDS,VIDIQ SCORE,VIEWS,YT LIKES,YT COMMENTS,DESC LINK COUNT,DESC WORD COUNT,CREATOR SUGGESTED,ENGAGEMENT RATE
Djf0e92T1Zo,Left New York And Landed In Los Angeles 😍🇺🇸 | United Sates Of America Mein Hollywood Ka Shahar 😱,,-,public,-,,57.76295456807601,625356,69K,3K,0,0,1,4
Pi0GGKAh1Vo,"Time Square Billboard Surprise For Aroob 😱😍 | Emotional ❤️ | Last Day In New York, USA 🇺🇸",,-,public,-,,62.44304094343444,1843923,133K,0,0,0,3,3
NUTHd6zBNZY,My First Helicopter Ride In America (USA) 🇺🇸🚁 | Dream Came True ❤️ | Poora New York Dekh Liya 😍,,-,public,-,,62.23881467914964,1758936,133K,0,0,0,2,3
s4EoEKjkHzg,"Times Square New York Mein Larai Ho Gai 😭😱 | Insane Fun in Times Square, USA 😍🇺🇸",,-,public,-,,62.68659494117708,1950661,133K,0,0,0,2,3
uCS4kA8GSFo,Babay Ko America Mein Surprise De Diya 🇺🇸😍 | Unexpected Entry In USA 🔥 | Aroob Naraz Ho Gai 😭,,-,public,-,,63.08600479426331,2139242,142K,0,0,0,3,3
YmkFgvEAz74,Landed In United States Of America 🇺🇸🔥 | Business Class Flight Surprise For Aroob 😍,,-,public,-,,63.70221212,2466563,145K,5.2K,0,0,4,3
yhGdPeu-IEE,Flight Miss Ho Gai Prank 😂 | Mama Udaas Ho Gain 💔😭 | Let America Trip Begins 🥳,,-,public,-,,62.09014629952826,1699543,138K,0,0,0,6,3
WUrHWQDN1mM,Test Pass Ho Geya 😂 | Zindagi Ka Sab Se Mushkil Kaam 🤯 | International Driving License Received 😍,,-,public,-,,61.888141904735136,1622043,106K,3.2K,0,0,6,3
oh0mFi824j0,Surprise Trip For Aroob 😍 | We Are Going To America 🔥,,-,public,-,,62.55137783147552,1890661,131K,0,0,0,6,3
zKn0rhU4iaA,Babay Ne Mulk Chor Diya 😭 |  | Surprise Entry By Rajab For Giveaway Winners 😍🔥,,-,public,-,,79.56580440229565,1927205,139K,0,0,0,5,3
AVMkG3z5Do4,Aroob Ne Larki Ke Sath Pakar Liya 😱 | Female Fan Ki Waja Se Larai Ho Gai 😭😂,,-,public,-,,62.766193793670084,1986868,117K,0,0,0,7,3
Sj78CEd9b44,Rajab Ka PS5 Tor Diya 😱 | Police Bula Li 😂 | Dubara Larai Hone Wali Thi 😭,,-,public,-,,62.66448835726732,1940723,134K,5.6K,0,0,6,3
AZhWmc-7muY,I Got Roasted By Dr Zakir Naik 😱 | Poore Khaandaan Mein Naak Katwadi 😭,,-,public,-,,63.622514169573044,2421559,141K,7.4K,0,0,4,3
8kW7H3Wy9pY,Meeting With Dr Zakir Naik 😍 | One Of My Favorite Person On Earth ❤️ | Dream Came True 🔥,,-,public,-,,64.04180488185956,2667891,142K,0,0,0,5,3
n1dxoWtAOXk,Rajab Ke Sath New Project Ki Planning Shuru Ho Gai 🔥 | Surprise Coming Soon 😍,,-,public,-,,77.83091112,2151254,150K,5.7K,0,0,4,3
geu-xu6m2g0,Poori Family Ne Surprise De Diya 🥳 | 8 Million Subscribers Mubarak Ducky Bhai Army ❤️,,-,public,-,,78.05207966,2264042,168K,7.4K,0,0,4,3
QPyVcJjq2Co,My Response To A Fake Giveaway 😡 | Congratulations To The Winners & Thank You Ducky Bhai Army ❤️🔥,,-,public,-,,75.67499153422865,1960879,140K,0,0,0,1,3
Zu__r4RIbc8,7 Million Subscriber Ka Waada Poora Kar Diya 🥳 | iPhones And PS5 Giveaway 🔥,,-,public,-,,84.10603665608792,2116102,204K,308K,0,0,4,4
F0A39jQdWy4,Fortuner Legender Ki New Look 🔥 | Gari Ka Color Modify Kar Diya 😍,,-,public,-,,76.10317323217646,2164791,151K,10K,0,0,-,3
4K8hDRlrtNQ,Mama Wapas Aa Gayin 😭 | Meeting My Mom After A Long Time ❤️,,-,public,-,,78.96959391505553,1679199,128K,0,0,0,4,3
_GmqAMHv31o,Surprising Aroob With An iPhone 16 Pro Max 😍 | Luxury Dinner With My Wife ❤️,,-,public,-,,76.39808222,2317438,136K,0,0,0,6,3
0Ahi1CBVU6c,Aroob Aur Uski Dost Ne Rs 7 Lac Ki Shopping Karli 😱 | Dubai Mein Larai Ho Gai 🤣,,-,public,-,,62.973739229019586,2084466,131K,0,0,0,4,3
STKVCz1Fmzk,Aroob Akele Bina Batae Dubai Aa Gaye 😡 | Sab Ko Surprise De Diya 😱,,-,public,-,,63.904848605159756,2584791,168K,0,0,0,5,3
zg2KTZPErRI,My Response To Tiktokers 😡 | iPhone 16 Pro Max Vs CyberTruck 🔥 | iPhone Ko Gari Ke Neeche De Diya 🤣,,-,public,-,,63.983874771973916,2632420,156K,10K,0,0,4,3
D9gEhTER6GY,Landed In Dubai To Buy Iphone 16 🥳 | Luxury Car Ke Sath Welcome Kiya 😍 | Aroob Ko Nahi Le Kar Gaye 🤣,,-,public,-,,63.454094070608754,2329138,155K,6.1K,0,0,8,3
u9jNT9oQXXw,Sports Car Ke Sath Tablecloth Pull Trick Kiya 😱 | Yakeen Nahi Ho Raha Ke Yeh Kaam Kar Geya 😍,,-,public,-,,62.89884249018979,2048705,128K,3.8K,0,0,6,3
z96wTSNcNNU,Meri Kismat Hi Kharaab Hai 😡 | Iphone 16 Pre Booking Failed 😭 | Dubai Jana Pare Ga 😱,,-,public,-,,75.92787196776659,2078862,130K,12K,0,0,10,3
4M-fQPUzRSw,Iphone 16 Release Ho Geya 😱 | Sab Se Pehle Mein Loun Ga 🤣,,-,public,-,,76.18542007063893,2206322,155K,0,0,0,5,3
2WMGfGOgylI,Chor Pakra Geya 😱 | Alhamdulillah ❤️ | 20 Lac Ka Samaan Recovered 🥳,,-,public,-,,80.24039595815013,2815326,209K,6.2K,0,0,2,3
